UBE2D2 RNF181
UBE2D2 MIB1
UBE2D2 RNF13
UBE2D2 RNF130
UBE2D2 RNF165
UBE2D2 RNF167
UBE2D2 RNF26
UBE2D2 RNF43
UBE2D2 LTN1
UBE2D2 RNF115
UBE2D2 ZNRF1
UBE2D2 XIAP
UBE2D2 RNF126
UBE2D2 RNF5
UBE2D2 DTX3
UBE2D2 RNF14
UBE2D2 RNF114
UBE2D2 TRIM8
UBE2D2 DZIP3
UBE2D2 TRIM39
UBE2D2 TRIM27
UBE2D2 RNF10
UBE2D2 RNF185
UBE2D2 BFAR
UBE2D2 RSPRY1
UBE2D2 CHFR
UBE2D2 RNF38
UBE2D2 TRIM17
UBE2D2 TRIM31
UBE2D2 TRIM5
UBE2D2 UBE4B
UBE2D2 BIRC2
UBE2D2 BIRC7
UBE2D2 MID2
UBE2D2 TRIM11
UBE2D2 TRIM50
UBE2D2 TRIM37
UBE2D2 TRIM32
UBE2D2 UBA1
UBE2D2 UBE2D2
UBE2D2 NEDD4L
UBE2D2 MDM4
UBE2D2 RAG1
UBE2D2 UBR5
UBE2D2 TRIM23
UBE2D2 MYLIP
UBE2D2 FBXO2
UBE2D2 LNX1
UBE2D2 HUWE1
UBE2D2 CBLC
UBE2D2 COP1
UBE2D2 TRIM21
UBE2D2 ANAPC11
UBE2D2 MARCHF5
UBE2D2 TRIM63
UBE2D2 HERC4
UBE2D2 TTC3
UBE2D2 RFFL
UBE2D2 UBTD1
UBE2D2 UBE3C
UBE2D2 RBCK1
UBE2D2 RNF31
UBE2D2 UBB
UBE2D2 SMURF1
UBE2D2 SMURF2
UBE2D2 WWP1
UBE2D2 TRIM62
UBE2D2 RNF170
UBE2D2 SQSTM1
UBE2D2 RNF168
UBE2D2 RNF216
UBE2D2 MEX3C
UBE2D2 RPS7
UBE2D2 RAF1
UBE2D2 RNF125
UBE2D2 SKP1
UBE2D2 RPS17
UBE2D2 ARIH2
UBE2D2 UFL1
UBE2D2 RMND5B
UBE2D2 RLIM
UBE2D2 NEDD8
UBE2D2 UFM1
UBE2D2 MGRN1
UBE2D2 MARCHF3
UBE2D2 ELF3
UBE2D2 RNF8
UBE2D2 UBE4A
UBE2D2 CUL1
UBE2D2 TRIM55
UBE2D2 FBXW2
UBE2D2 FBXO4
UBE2D2 ATCAY
UBE2D2 RNF103
UBE2D2 ZNRF4
UBE2D2 SNURF
UBE2D2 RNF138
UBE2D2 RPS27A
UBE2D2 RNF166
UBE2D2 TRIM26
UBE2D2 CKS1B
UBE2D2 TRIM2
UBE2D2 MKRN3
UBE2D2 UBOX5
UBE2D2 UHRF2
UBE2D2 TRIM43
UBE2D2 TOPORS
UBE2D2 ZNFX1
UBE2D2 ZNRF2
UBE2D2 CADPS2
UBE2D2 LRSAM1
UBE2D2 RNFT1
UBE2D2 TRIM35
UBE2D2 BIRC8
UBE2D2 RNF150
UBE2D2 TRAF7
UBE2D2 FBXL3
UBE2D2 EI24
UBE2D2 RNF186
UBE2D2 DTX2
UBE2D2 PHF7
UBE2D2 MID1
UBE2D2 CUEDC1
LMO2 GATA2
LMO2 AFDN
LMO2 RELA
LMO2 KDM5A
LMO2 LMO2
LMO2 TAL1
LMO2 MAPRE2
LMO2 STAT1
LMO2 MAPRE3
LMO2 LDB1
LMO2 GATA1
LMO2 SSBP2
LMO2 HNRNPM
LMO2 TLE5
LMO2 PRKG1
LMO2 ZNF24
LMO2 AIMP2
LMO2 ABI2
LMO2 DRAP1
LMO2 IKZF3
LMO2 MAPRE1
LMO2 KANK2
LMO2 HOOK1
LMO2 MBIP
LMO2 ADAMTSL4
LMO2 CCDC33
LMO2 IFT43
LMO2 SAXO1
LMO2 NUTM1
LMO2 IHO1
LMO2 POLR2G
LMO2 UBA6
LMO2 BEX2
LMO2 UBE2I
LMO2 KRT40
LMO2 GRB2
LMO2 HNRNPC
LMO2 NIF3L1
LMO2 KRT15
LMO2 PDE9A
LMO2 SP1
LMO2 NUP62
LMO2 MTUS2
LMO2 SKP1
LMO2 STAT3
LMO2 EHMT2
LMO2 GOLGA2
LMO2 SMAD2
LMO2 SSX2IP
LMO2 RB1
LMO2 CALCOCO2
LMO2 FHL3
LMO2 C1orf94
LMO2 CLHC1
LMO2 AGTRAP
LMO2 LZTS2
LMO2 REL
LMO2 BLZF1
LMO2 NHLH2
LMO2 PHC2
LMO2 CDX4
LMO2 N4BP2L2
LMO2 NHLH1
LMO2 CMTM5
LMO2 TRIM23
LMO2 TRIP6
LMO2 MRFAP1L1
LMO2 DBF4B
LMO2 RLIM
LMO2 DDIT3
LMO2 DAZAP2
LMO2 ELF2
LMO2 RINT1
LMO2 ROCK1
LMO2 KRTAP10-7
LMO2 PRKAR2B
LMO2 ERG
LMO2 GATA3
LMO2 MAGEA8
LMO2 BANP
LMO2 GFAP
LMO2 CBY2
LMO2 TAL2
LMO2 TCF3
LMO2 LYL1
LMO2 TUFT1
LMO2 NOTCH2NLA
LMO2 ISL1
LMO2 ZFP64
LMO2 TFPT
LMO2 SOX5
LMO2 TSC22D4
LMO2 RBBP8
LMO2 VEZF1
LMO2 NTAQ1
LMO2 GAS8
LMO2 FAM90A1
LMO2 DMRT3
LMO2 TEKT3
LMO2 LMO4
LMO2 PPP1R32
LMO2 NOXA1
LMO2 ARID5A
LMO2 LZTS1
LMO2 TFIP11
LMO2 PBX4
LMO2 UBASH3B
LMO2 NDUFAB1
LMO2 EIF3B
LMO2 ZNF410
LMO2 FAM214B
LMO2 RCN1
LMO2 ARHGEF5
LMO2 PRDM6
LMO2 ZMYND12
LMO2 KIF2A
LMO2 YPEL3
LMO2 EFHC1
LMO2 NDUFB7
LMO2 MISP
LMO2 PATZ1
LMO2 GMEB2
LMO2 TRIB3
LMO2 HDAC5
LMO2 FHL5
LMO2 WASF1
LMO2 BYSL
LMO2 BCAS2
LMO2 C1orf109
LMO2 TBX2
LMO2 SMUG1
LMO2 ENKD1
LMO2 PSMA1
LMO2 KRT34
LMO2 RTL8C
LMO2 MSN
LMO2 ZNF185
LMO2 VBP1
LMO2 ZNF19
LMO2 RUSC1
LMO2 TSSK3
LMO2 FAAP20
LMO2 LMOD3
LMO2 ICA1L
LMO2 MYOZ3
LMO2 TSC1
LMO2 NSMF
LMO2 ZNF641
LMO2 NFKBID
LMO2 KRT80
LMO2 LDB2
LMO2 KRT75
LMO2 DYDC1
LMO2 ARNT2
LMO2 SNAPC5
LMO2 THAP6
LMO2 TSGA10IP
LMO2 YOD1
LMO2 WASHC1
LMO2 USH1G
LMO2 TSEN54
LMO2 LDOC1
LMO2 EFHC2
LMO2 TSPYL2
LMO2 IKZF1
LMO2 FAM228A
LMO2 VMAC
LMO2 EIF4EBP1
LMO2 NDOR1
LMO2 KAZN
LMO2 ZNF250
LMO2 ZNF34
LMO2 INCA1
LMO2 ZNF655
LMO2 SGTB
LMO2 PAX9
LMO2 TSEN15
LMO2 KPRP
LMO2 ZNF688
LMO2 ISY1
LMO2 TCP10L
CYTH4 KRT15
CYTH4 FOS
CYTH4 PCM1
CYTH4 USHBP1
CYTH4 KRT40
CYTH4 KIFC3
CYTH4 HOOK2
CYTH4 AMOTL2
CYTH4 CCDC6
CYTH4 CNKSR1
CYTH4 KANK2
CYTH4 IPCEF1
CYTH4 CCDC120
CYTH4 PSMB1
CYTH4 SNAPC5
CYTH4 CTAG1B
CYTH4 KRT34
CYTH4 CTAG1A
CYTH4 FOSB
CYTH4 CBY2
CYTH4 CCDC197
CYTH4 KRT16
CYTH4 SYCE1L
PARVG REL
PARVG GADD45A
PARVG PDLIM7
PARVG USHBP1
PARVG TLE5
PARVG HOMEZ
PARVG NDEL1
PARVG MEOX2
PARVG ILK
PARVG IRAK1
PARVG KLHL32
PARVG NBPF22P
PARVG MEOX1
PARVG ALX4
PARVG TRIB2
PARVG ANTKMT
PARVG POU6F2
PARVG LHX3
PARVG CSF3
PARVG CDHR3
PARVG ZNF426
PARVG DDIT4L
PARVG POLR2G
PARVG CFAP53
PARVG TSGA10IP
PARVG SERTAD2
PARVG NBPF6
PARVG CDSN
PARVG KCTD7
XAF1 SIAH2
XAF1 AKT1
XAF1 TP53
XAF1 CREBBP
XAF1 VCP
XAF1 IRF1
XAF1 XIAP
XAF1 LRSAM1
XAF1 RFC5
XAF1 TRIM21
XAF1 BIRC7
XAF1 RNF114
XAF1 HTRA2
XAF1 TRIML2
XAF1 UBXN2B
XAF1 TRIM50
XAF1 RNF166
XAF1 SEPHS1
XAF1 GLS2
CMIP PIK3R1
CMIP TSR2
CMIP ZC4H2
FBXW11 CUL1
FBXW11 PDCD4
FBXW11 HIVEP1
FBXW11 SIPA1L1
FBXW11 DENND4C
FBXW11 FNIP1
FBXW11 RASSF3
FBXW11 IQGAP2
CUL1 FBXW7
CUL1 MDM2
CUL1 RPL11
CUL1 RELA
CUL1 PIAS2
CUL1 H2AX
CUL1 PIAS1
CUL1 CTNNB1
CUL1 FBXO3
CUL1 RBX1
CUL1 HIPK2
CUL1 MYC
CUL1 MCM4
CUL1 MCM5
CUL1 EEF1A1
CUL1 FBH1
CUL1 CDC5L
CUL1 H4C1
CUL1 CCND1
CUL1 NFKB1
CUL1 CDK9
CUL1 NFKB2
CUL1 MAGEC2
CUL1 UBC
CUL1 NAE1
CUL1 PRKN
CUL1 FBXL2
CUL1 YWHAG
CUL1 UBE2M
CUL1 COPS5
CUL1 VCP
CUL1 LRPPRC
CUL1 CUL2
CUL1 HSPA4
CUL1 SMAD3
CUL1 FBXL5
CUL1 PCNA
CUL1 REL
CUL1 ATXN3
CUL1 H2BC21
CUL1 CDK2
CUL1 DDB1
