RAC1 ARHGAP24
RAC1 FMNL1
RAC1 ARHGAP27
SH3RF3 UBC
SH3RF3 ADAM15
SH3RF3 PAK2
DOCK8 ZFC3H1
DOCK8 DNM2
DOCK8 DOCK7
DOCK8 FBXL12
DOCK8 CDC42
DOCK8 RHOQ
DOCK8 KRT40
DOCK8 COG6
DOCK8 FANCL
DOCK8 MEOX2
DOCK8 EXOSC5
DOCK8 FAM161A
DOCK8 ZNF581
DOCK8 BYSL
DOCK8 LRCH3
DOCK8 CHMP2A
DOCK8 RTP5
DOCK8 MED30
DOCK8 FAM124A
DOCK8 DOCK6
DOCK8 LRCH2
DOCK8 LRCH1
DOCK8 MTG1
DOCK8 CARHSP1
DOCK8 HBZ
DOCK8 MRPL38
DOCK8 RHOJ
DOCK8 DOCK8
DOCK8 HSF2BP
ITPR2 TRPC4
ITPR2 PRKACA
ITPR2 TRPC1
ITPR2 BANK1
ARHGAP24 ROCK1
ARHGAP24 CDC42
SRC CACNA1C
SRC CD2AP
SRC PTK2B
SRC ITGA2B
SRC NMT1
SRC ASB16
SRC CLTC
CACNA1C SRI
CACNA1C PPM1A
CACNA1C CALM3
CACNA1C CABP1
CACNA1C CDK5
CACNA1C HDAC4
CACNA1C PRKACA
CACNA1C CALM1
CACNA1C GNB1
CACNA1C RYR2
CACNA1C BIN1
CACNA1C RIMS1
CACNA1C PCBD1
CACNA1C CALM2
CACNA1C CACNB3
CACNA1C KCNE2
CACNA1C CACNB2
CACNA1C CACNB1
JAK2 PTK2B
JAK2 UBASH3B
ALK EPHA1
CDK9 GRN
CDK9 HEXIM1
CDK9 HEXIM2
CDK9 DDX5
FGFR1 NCK2
PRKCD IL1R1
PRKCD PTK2B
PRKCD DDX5
IL1R1 PRKCA
IL1R1 PRKCB
IL1R1 PIK3R1
IL1R1 PRKCI
IL1R1 PRKCZ
IL1R1 MYD88
IL1R1 PRKCE
IL1R1 PRKCQ
IL1R1 IL1A
IL1R1 IRAK2
IL1R1 TOLLIP
IL1R1 IRAK1
IL1R1 MAP3K14
IL1R1 IL1RAP
IL1R1 PRKCG
IL1R1 IL1B
IL1R1 PRKCH
IL1R1 TICAM2
IL1R1 IL1F10
IL1R1 IL1RN
IL1R1 SIGIRR
SIAH1 SFMBT2
SIAH1 KIF22
SIAH1 KCNJ10
SFMBT2 TFAP4
SFMBT2 SCML2
SFMBT2 UBE2O
SFMBT2 L3MBTL3
SFMBT2 PHC1
