FLNC SGCD
ZFHX3 ZNF620
ZFHX3 DEUP1
ZFHX3 CNOT2
ZFHX3 TACC1
ZFHX3 C11orf49
XIRP1 NEBL
NEBL MAD1L1
NEBL NUTM1
NEBL MED28
NEBL ACTB
NEBL PIK3R3
NEBL GOLGA2
NEBL TRAF1
NEBL CCDC136
NEBL ACTN1
NEBL TRIM63
NEBL VCL
NEBL TRIM27
NEBL TRAF2
NEBL KIFC3
NEBL SMURF2
NEBL CEP70
NEBL FAM9B
NEBL GMCL1
NEBL MYPN
NEBL XIRP2
NEBL ACAP1
NEBL HOMER3
NEBL LZTS2
NEBL ZYX
NEBL QARS1
NEBL PIBF1
NEBL ACTN3
NEBL MIPOL1
NEBL SPAG5
NEBL GOLGA6A
NEBL CCDC125
FBXW11 EZH2
FBXW11 YAP1
FBXW11 TRIM9
FBXW11 APC
FBXW11 NUAK1
FBXW11 TBC1D4
FBXW11 CACHD1
FBXW11 REL
FBXW11 RASAL2
EZH2 AKT1
EZH2 MAP3K7
EZH2 PML
EZH2 ZBTB16
EZH2 FBXW7
EZH2 TP53
EZH2 SIN3A
EZH2 HDAC1
EZH2 HDAC2
EZH2 RARA
EZH2 RELA
EZH2 USP7
EZH2 CTNNB1
EZH2 SIRT1
EZH2 BRCA1
EZH2 NUMA1
EZH2 ESR1
EZH2 SMARCA4
EZH2 PRMT5
EZH2 VAV1
EZH2 YBX1
EZH2 EED
EZH2 ATRX
EZH2 PHF1
EZH2 WDR61
EZH2 GTF3C1
EZH2 POLA2
EZH2 SUZ12
EZH2 E2F6
EZH2 SNAI1
EZH2 JARID2
EZH2 MTF2
EZH2 RBBP4
EZH2 EZH1
EZH2 EWSR1
EZH2 H3C1
EZH2 DNMT1
EZH2 DNMT3A
EZH2 DNMT3B
EZH2 EPC1
EZH2 YY1
EZH2 RBL2
EZH2 PPP1R8
EZH2 CDK1
EZH2 PHF19
EZH2 HOTAIR
EZH2 H3-4
EZH2 PJA1
EZH2 RELB
EZH2 EHMT1
EZH2 UHRF1
EZH2 SS18
EZH2 SSX2
EZH2 SUV39H1
EZH2 KDM1A
EZH2 BTRC
EZH2 CPSF6
EZH2 NUDT21
EZH2 AEBP2
EZH2 DDX5
EZH2 PABPC4
EZH2 TRIM28
EZH2 AR
EZH2 H2AC4
EZH2 FAM120A
EZH2 RBBP7
EZH2 DAZAP1
EZH2 PHF5A
EZH2 PDS5A
EZH2 TASOR
EZH2 MACROH2A1
EZH2 KAT7
EZH2 CSNK2B
EZH2 CHD4
EZH2 HUWE1
EZH2 EHMT2
EZH2 CENPV
EZH2 EPOP
EZH2 TRIM37
EZH2 PRDM14
EZH2 KAT2B
EZH2 LATS2
EZH2 CUL4B
EZH2 FOXM1
EZH2 PBRM1
EZH2 ARID1A
EZH2 SMARCC2
EZH2 SMARCC1
EZH2 MYCN
EZH2 USP44
EZH2 ZRANB1
EZH2 ZNF281
EZH2 PAXBP1
EZH2 SALL4
EZH2 H4C1
EZH2 ARMC12
EZH2 USP1
EZH2 SMN1
EZH2 RASA1
EZH2 AGO2
EZH2 PSMB6
EZH2 NINL
EZH2 PIN4
EZH2 RPN2
EZH2 ATP1B1
EZH2 PFDN1
EZH2 RPS6KA5
EZH2 ATP1A1
EZH2 XPO1
EZH2 TAF1D
EZH2 MAP3K20
EZH2 SMS
EZH2 DNAJB11
EZH2 WSB2
EZH2 MACROH2A2
EZH2 CCDC85B
EZH2 GADD45G
EZH2 KLHDC2
EZH2 CEP63
EZH2 TK1
EZH2 MAPK8IP2
EZH2 C7orf25
EZH2 MAPKAPK3
EZH2 KRTAP10-9
YAP1 AKT1
YAP1 FBXW7
YAP1 HDAC1
YAP1 RUNX1
YAP1 CTNNB1
YAP1 TP63
YAP1 STAT1
YAP1 XRCC6
YAP1 PARP1
YAP1 H4C1
YAP1 YWHAG
YAP1 VCP
YAP1 HSPA4
YAP1 SMAD1
YAP1 HNRNPU
YAP1 SMAD7
YAP1 POLR2A
YAP1 RUNX2
YAP1 TP73
YAP1 POU3F2
YAP1 SKP2
