MAP2K4 BLNK
REL LMO2
REL FBXW7
REL SRF
REL CREBBP
REL SIN3A
REL RELA
REL SP1
REL HDAC7
REL BANP
REL CSNK2A1
REL ATXN1
REL GAPDH
REL HNRNPF
REL CENPX
REL PPP4C
REL AR
REL EP300
REL NFKB2
REL ARFIP2
REL HSPA8
REL LRPPRC
REL RASSF5
REL HSPA4
REL C1orf50
REL TFAP2A
REL PRKAA2
REL BCL3
REL CHAF1A
REL TNIP2
REL NFKBIE
REL MTPN
REL NFKBIA
REL NFKBIB
REL PRKAB2
REL DHPS
REL EIF4EBP1
REL EIF5A
REL EPHB6
REL FKBP1B
REL UBE2K
REL POLR2L
REL NCK2
REL HAT1
